birth_year,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e-05,0.0,0.0
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e-05,1e-05,0.0,0.0
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e-05,2e-05,1e-05,0.0,0.0
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9e-05,4e-05,2e-05,1e-05,0.0,0.0
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012,8e-05,7e-05,2e-05,1e-05,0.0,0.0
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012,9e-05,0.00012,6e-05,3e-05,1e-05,0.0,0.0
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00026,0.00017,0.00013,0.00011,8e-05,3e-05,1e-05,0.0,0.0
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00038,0.00021,0.00017,0.00011,0.00013,9e-05,3e-05,1e-05,0.0,0.0
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006,0.00038,0.00026,0.00016,0.00013,0.00016,8e-05,4e-05,1e-05,0.0,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00109,0.00059,0.00042,0.00028,0.00021,0.00016,0.00014,0.00011,2e-05,1e-05,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018,0.00103,0.00065,0.0005,0.00032,0.00026,0.00014,0.00019,7e-05,3e-05,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00273,0.0017,0.00106,0.00076,0.00048,0.00029,0.00024,0.00016,0.00011,0.0001,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00445,0.00287,0.00178,0.00122,0.00079,0.00056,0.00036,0.00026,0.00011,0.00019,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00684,0.00479,0.00306,0.00206,0.00128,0.00077,0.00057,0.00035,0.00014,0.0002,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00917,0.00731,0.00466,0.0033,0.00197,0.00125,0.00084,0.00056,0.00035,0.00028,,,,,,,
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0122,0.00971,0.00734,0.00524,0.00323,0.00189,0.00129,0.0008,0.00042,0.00042,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,,,,0.01557,0.01269,0.00963,0.00786,0.00526,0.00334,0.00198,0.00131,0.00067,0.00055,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,,,0.02018,0.01622,0.01291,0.01064,0.00787,0.00518,0.00338,0.0022,0.00117,0.00096,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,0.02466,0.02043,0.01644,0.01321,0.01023,0.00806,0.00529,0.0033,0.00202,0.00127,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,,,,,,,0.02905,0.02518,0.02062,0.01666,0.01329,0.01021,0.00766,0.00493,0.00309,0.00205,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,0.0332,0.03006,0.02545,0.02183,0.01756,0.01329,0.01054,0.00768,0.00508,0.00327,,,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,0.03844,0.03386,0.03018,0.02733,0.02199,0.01668,0.01328,0.01022,0.00746,0.00516,,,,,,,,,,,,,,
1982,,,,,,,,,,,,,,,,,,,,0.04202,0.03913,0.03437,0.03242,0.02682,0.02169,0.01651,0.01282,0.00997,0.00736,,,,,,,,,,,,,,,
1983,,,,,,,,,,,,,,,,,,,0.04359,0.04299,0.03969,0.03657,0.03107,0.02633,0.02088,0.01646,0.01282,0.00997,,,,,,,,,,,,,,,,
1984,,,,,,,,,,,,,,,,,,0.04339,0.04371,0.04387,0.04246,0.03597,0.03088,0.02617,0.02103,0.01653,0.0126,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,0.04281,0.04408,0.04409,0.04595,0.04154,0.03544,0.03061,0.02576,0.02112,0.01578,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,0.04113,0.04219,0.04467,0.04691,0.04493,0.04074,0.03483,0.03012,0.02627,0.02039,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,0.03905,0.04127,0.04405,0.04715,0.04601,0.04484,0.04041,0.03506,0.03128,0.0252,,,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,0.03741,0.03924,0.04188,0.04577,0.04611,0.04541,0.04455,0.04071,0.03666,0.02969,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,0.03511,0.03597,0.03917,0.04277,0.04458,0.0456,0.04505,0.04422,0.04146,0.03494,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,0.03272,0.03356,0.03652,0.04088,0.04295,0.04439,0.04578,0.04551,0.04674,0.04022,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,0.03102,0.03105,0.03314,0.03658,0.03914,0.04206,0.04353,0.04547,0.04641,0.04335,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,0.0304,0.02994,0.02986,0.03353,0.0361,0.0387,0.04121,0.04337,0.04505,0.04498,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,0.02925,0.02862,0.02932,0.03045,0.03235,0.03605,0.03867,0.04069,0.04304,0.0444,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,0.02572,0.02787,0.02866,0.02962,0.0294,0.03196,0.03462,0.03742,0.04081,0.04291,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,,0.0189,0.02463,0.0274,0.0284,0.02927,0.02873,0.03203,0.03427,0.03717,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,0.01289,0.01719,0.0231,0.02726,0.02811,0.02801,0.02894,0.03057,0.03331,0.03713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,0.00551,0.01108,0.01642,0.02336,0.02685,0.02688,0.02762,0.02788,0.02971,0.03332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,0.00173,0.00448,0.01038,0.01587,0.02244,0.0249,0.02593,0.0258,0.02641,0.02966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,,,0.00029,0.00137,0.00454,0.0098,0.01502,0.02175,0.02491,0.02508,0.02452,0.02661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,2e-05,0.00029,0.00132,0.004,0.00947,0.0145,0.02059,0.02328,0.02251,0.02479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,0.0,4e-05,0.00025,0.00126,0.00344,0.0082,0.01399,0.01908,0.02062,0.02282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,0.0,2e-05,0.00028,0.001,0.00318,0.00762,0.012,0.01608,0.02059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,1e-05,2e-05,0.00018,0.00088,0.00301,0.00695,0.00999,0.01681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,0.0,3e-05,0.00018,0.00091,0.00267,0.00596,0.01104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,0.0,1e-05,0.00022,0.00084,0.00222,0.00615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,0.0,2e-05,0.00019,0.00076,0.00247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,0.0,1e-05,0.00013,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,0.0,1e-05,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,0.0,1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
