threshold,country,year_dropped_below,avg_tfr_after_cross,min_tfr,min_tfr_year,subsequent_peak_tfr,subsequent_peak_tfr_year,avg_tfr_after_min,avg_tfr_period
1.4,Singapore,1986,1.181,0.934,2010,1.75,1988,0.959,2011-2023
1.4,Slovakia,1998,1.398,1.185,2002,1.631,2021,1.426,2003-2023
1.4,Slovenia,1992,1.426,1.203,2003,1.64,2021,1.527,2004-2023
1.4,South Korea,2001,1.097,0.72,2023,1.342,2001,,
1.4,Spain,1989,1.275,1.131,1998,1.436,2008,1.289,1999-2023
1.4,Switzerland,2001,1.471,1.382,2003,1.54,2016,1.484,2004-2023
1.4,Taiwan,2002,1.088,0.87,2022,1.327,2002,0.87,2023-2023
1.4,Thailand,2017,1.271,1.212,2023,1.363,2017,,
1.4,Ukraine,1995,1.276,0.897,2022,1.528,2012,0.977,2023-2023
1.4,United Arab Emirates,2016,1.256,1.148,2022,1.366,2016,1.2,2023-2023
1.5,Albania,2017,1.391,1.348,2023,1.486,2017,,
1.5,Argentina,2022,1.491,1.482,2022,1.5,2023,1.5,2023-2023
1.5,Armenia,2000,1.574,1.402,2001,1.719,2022,1.587,2002-2023
1.5,Austria,1985,1.435,1.317,2023,1.531,2016,,
1.5,Belarus,1994,1.4,1.192,2003,1.728,2015,1.459,2004-2023
1.5,Belgium,2023,1.379,1.379,2023,1.379,2023,,
1.5,Bosnia and Herzegovina,1999,1.318,1.18,2006,1.515,2020,1.354,2007-2023
1.5,Bulgaria,1993,1.439,1.113,1997,1.767,2022,1.468,1998-2023
1.5,Canada,2019,1.407,1.349,2023,1.476,2019,,
1.5,Chile,2019,1.267,1.167,2023,1.43,2019,,
1.5,China,2019,1.176,0.999,2023,1.496,2019,,
1.5,Costa Rica,2020,1.367,1.33,2023,1.448,2020,,
1.5,Croatia,1992,1.496,1.403,2015,1.685,1997,1.487,2016-2023
1.5,Cuba,1993,1.566,1.402,2006,1.734,2011,1.581,2007-2023
1.5,Cyprus,2002,1.404,1.304,2013,1.512,2004,1.35,2014-2023
1.5,Czechia,1994,1.425,1.136,1999,1.823,2021,1.475,2000-2023
1.5,Denmark,1981,1.685,1.378,1983,1.88,2008,1.705,1984-2023
1.5,Estonia,1993,1.502,1.272,1998,1.719,2008,1.534,1999-2023
1.5,Finland,2017,1.383,1.28,2023,1.487,2017,,
1.5,Germany,1975,1.424,1.254,1994,1.591,2016,1.419,1995-2023
1.5,Greece,1989,1.381,1.292,2013,1.507,2009,1.35,2014-2023
1.5,Hong Kong,1986,1.113,0.708,2022,1.403,1988,0.717,2023-2023
1.5,Hungary,1996,1.391,1.25,2011,1.605,2021,1.489,2012-2023
1.5,Italy,1984,1.313,1.188,1995,1.458,1984,1.31,1996-2023
1.5,Jamaica,2016,1.397,1.358,2023,1.464,2016,,
1.5,Japan,1992,1.348,1.208,2023,1.478,1992,,
1.5,Latvia,1994,1.42,1.104,1998,1.742,2016,1.463,1999-2023
1.5,Lithuania,1996,1.452,1.201,2023,1.705,2015,,
1.5,Mauritius,2010,1.377,1.241,2023,1.495,2010,,
1.5,Moldova,2000,1.667,1.448,2002,1.89,2016,1.694,2003-2023
1.5,Netherlands,1982,1.623,1.43,2023,1.787,2010,,
1.5,North Macedonia,2005,1.641,1.465,2023,1.786,2016,,
1.5,Norway,2020,1.466,1.405,2023,1.56,2021,,
1.5,Poland,1998,1.339,1.225,2003,1.472,2017,1.343,2004-2023
